title,combined
Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy Military Bones Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken Funimation, Aniplex of America"
Hunter x Hunter (2011),"Action, Adventure, Fantasy Madhouse VAP, Nippon Television Network, Shueisha VIZ Media"
Shingeki no Kyojin Season 3 Part 2,"Action, Drama, Suspense Gore, Military, Survival Wit Studio Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises Funimation"
Steins;Gate,"Drama, Sci-Fi, Suspense Psychological, Time Travel White Fox Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus Funimation"
Koe no Katachi,"Award Winning, Drama Romantic Subtext Kyoto Animation Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras Eleven Arts, NYAV Post"
Kimi no Na wa.,"Award Winning, Drama, Supernatural Romantic Subtext CoMix Wave Films TOHO, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, JR East Marketing & Communications, Kadokawa, voque ting Funimation, NYAV Post"
Code Geass: Hangyaku no Lelouch R2,"Action, Award Winning, Drama, Sci-Fi Mecha, Military, Super Power Sunrise Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners Funimation, Bandai Entertainment"
Shingeki no Kyojin: The Final Season,"Action, Drama, Suspense Gore, Military, Survival MAPPA Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises Funimation"
Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Supernatural Mythology Studio Ghibli Dentsu, TOHO, Tokuma Shoten, Tohokushinsha Film Corporation, Nippon Television Network, Mitsubishi Disney Platform Distribution, GKIDS"
Code Geass: Hangyaku no Lelouch,"Action, Award Winning, Drama, Sci-Fi Mecha, Military, School, Super Power Sunrise Bandai Visual, Mainichi Broadcasting System, Bandai, Sony Music Entertainment, Bandai Namco Entertainment, Hakuhodo DY Media Partners Funimation, Bandai Entertainment"
One Piece,"Action, Adventure, Fantasy Toei Animation Fuji TV, TAP, Shueisha Funimation, 4Kids Entertainment"
Death Note,"Supernatural, Suspense Psychological Madhouse VAP, Nippon Television Network, Shueisha, D.N. Dream Partners VIZ Media"
Mob Psycho 100 II,"Action, Comedy, Supernatural Super Power Bones Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan Funimation"
Shingeki no Kyojin Season 3,"Action, Drama, Suspense Gore, Military, Survival Wit Studio Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises Funimation"
Shigatsu wa Kimi no Uso,"Drama, Romance Love Polygon, Music, School A-1 Pictures Aniplex, Dentsu, Kodansha, Fuji TV, Lawson HMV Entertainment, Kyoraku Industrial Holdings, Kansai Telecasting Aniplex of America"
Jujutsu Kaisen,"Action, Award Winning, Fantasy School MAPPA Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap VIZ Media"
Shingeki no Kyojin,"Action, Award Winning, Drama, Suspense Gore, Military, Survival Wit Studio Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises Funimation"
Cowboy Bebop,"Action, Award Winning, Sci-Fi Adult Cast, Space Sunrise Bandai Visual Funimation"
Kimetsu no Yaiba: Yuukaku-hen,"Action, Fantasy Historical ufotable Aniplex, Shueisha Aniplex of America, Crunchyroll"
Violet Evergarden,"Drama, Fantasy Kyoto Animation Lantis, Pony Canyon, Rakuonsha, ABC Animation Funimation"
Vinland Saga,"Action, Adventure, Drama Gore, Historical Wit Studio Production I.G, Dentsu, Kodansha, Twin Engine Sentai Filmworks"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Sports School, Team Sports Production I.G Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha Sentai Filmworks"
Shingeki no Kyojin Season 2,"Action, Drama, Suspense Gore, Military, Survival Wit Studio Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises Funimation"
One Punch Man,"Action, Comedy Adult Cast, Parody, Super Power Madhouse TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications VIZ Media"
Howl no Ugoku Shiro,"Adventure, Award Winning, Drama, Fantasy, Romance Studio Ghibli d-rights, Tokuma Shoten Disney Platform Distribution"
Clannad: After Story,"Drama, Romance, Supernatural Kyoto Animation Pony Canyon, TBS, Rakuonsha, Animation Do Sentai Filmworks"
Shingeki no Kyojin: The Final Season Part 2,"Action, Drama, Suspense Gore, Military, Survival MAPPA Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises Funimation"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Action, Fantasy Historical ufotable Aniplex, Shueisha Aniplex of America"
Haikyuu!! Second Season,"Sports School, Team Sports Production I.G Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha Sentai Filmworks"
Tengen Toppa Gurren Lagann,"Action, Adventure, Award Winning, Sci-Fi Mecha Gainax TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai ADV Films, Bandai Entertainment, Aniplex of America"
Kimetsu no Yaiba,"Action, Award Winning, Fantasy Historical ufotable Aniplex, Shueisha Aniplex of America"
Mononoke Hime,"Action, Adventure, Award Winning, Fantasy Studio Ghibli Tokuma Shoten, Nippon Television Network GKIDS"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Comedy Psychological, Romantic Subtext, School A-1 Pictures Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications Aniplex of America"
Yakusoku no Neverland,"Fantasy, Mystery, Sci-Fi, Suspense Psychological, Survival CloverWorks Aniplex, Dentsu, Fuji TV, Shueisha, CA-Cygames Anime Fund Aniplex of America"
Mob Psycho 100,"Action, Comedy, Supernatural Super Power Bones Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan Funimation, Crunchyroll"
Made in Abyss,"Adventure, Drama, Fantasy, Mystery, Sci-Fi Gore Kinema Citrus AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, IRMA LA DOUCE Sentai Filmworks"
Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy, Romance School A-1 Pictures Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications Aniplex of America"
Spy x Family,"Action, Award Winning, Comedy Childcare Wit Studio, CloverWorks TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shueisha Funimation"
Haikyuu!!,"Sports School, Team Sports Production I.G Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha, Spacey Music Entertainment Sentai Filmworks"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action, Adventure, Supernatural Organized Crime David Production Warner Bros. Japan VIZ Media"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Adventure, Drama, Fantasy, Ecchi Isekai, Reincarnation Studio Bind Frontier Works, TOHO, TOHO animation, Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment Funimation"
Fate/Zero 2nd Season,"Action, Fantasy, Supernatural ufotable Aniplex, Nitroplus, Seikaisha, Notes Aniplex of America"
Jujutsu Kaisen 2nd Season,"Action, Fantasy Gore, School MAPPA Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap"
Ansatsu Kyoushitsu 2nd Season,"Action, Comedy School Lerche Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting Funimation"
Chainsaw Man,"Action, Fantasy Gore MAPPA dugout"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Comedy Psychological, Romantic Subtext, School A-1 Pictures Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications Aniplex of America"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action, Adventure, Supernatural David Production Warner Bros. Japan VIZ Media"
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","Action, Avant Garde, Drama, Sci-Fi, Suspense Mecha, Psychological Gainax, Production I.G TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, King Records, Audio Tanaka GKIDS"
Sousou no Frieren,"Adventure, Drama, Fantasy Madhouse Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"Action, Adventure, Supernatural David Production Yomiko Advertising, Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha VIZ Media"
Samurai Champloo,"Action, Adventure, Comedy Historical, Samurai Manglobe Victor Entertainment, Fuji TV, Barnum Studio, Tokuma Shoten, flying DOG Funimation, Geneon Entertainment USA"
Kimi no Suizou wo Tabetai,"Drama, Romance School Studio VOLN Aniplex, ABC Animation Aniplex of America"
Shinseiki Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense Mecha, Psychological Gainax, Tatsunoko Production TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka GKIDS"
Monster,"Drama, Mystery, Suspense Adult Cast, Psychological Madhouse VAP, Shogakukan-Shueisha Productions, Nippon Television Network VIZ Media"
Cyberpunk: Edgerunners,"Action, Sci-Fi Gore, Organized Crime Trigger CD Projekt Red"
Kiseijuu: Sei no Kakuritsu,"Action, Horror, Sci-Fi, Suspense Gore, Psychological Madhouse VAP, Nippon Television Network, Forecast Communications Sentai Filmworks"
